Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
C1,"10u,0603",Top,CAP_0603,72.4,60.8,90,Capacitor SMD 0603 25V
C2,"100n,0402",Top,CAP_0402,81.2,68.1,180,Capacitor SMD 0402 16V
C3,"100n,0402",Top,CAP_0402,82.8,63.2,180,Capacitor SMD 0402 16V
C4,"100n,0402",Top,CAP_0402,74.3,61.9,90,Capacitor SMD 0402 16V
C5,"100n,0402",Top,CAP_0402,79.1,59.6,180,Capacitor SMD 0402 16V
C6,"100n,0402",Top,CAP_0402,79.2,54.6,180,Capacitor SMD 0402 16V
C7,"10u,0603",Top,CAP_0603,80.7,57,270,Capacitor SMD 0603 25V
C8,"100n,0402",Top,CAP_0402,81.1,70.6,270,Capacitor SMD 0402 16V
C9,"10u,0603",Top,CAP_0603,83,70.7,270,Capacitor SMD 0603 25V
C10,"3P3,0603",Top,CAP_0603,75.8,59.6,180,Capacitor SMD 0603 25V
C11,"3P3,0603",Top,CAP_0603,75.9,54.4,180,Capacitor SMD 0603 25V
C12,"100n,0402",Top,CAP_0402,69,82.4,0,Capacitor SMD 0402 16V
C13,"100n,0402",Top,CAP_0402,90.3,82.1,0,Capacitor SMD 0402 16V
C14,"10p,0402",Top,CAP_0402,70,63,270,Capacitor SMD 0402 16V
C15,"10p,0402",Top,CAP_0402,70,65.5,90,Capacitor SMD 0402 16V
C16,"100n,0402",Top,CAP_0402,84.2,79.5,180,Capacitor SMD 0402 16V
C17,"100n,0402",Top,CAP_0402,85.6,76.6,270,Capacitor SMD 0402 16V
C18,"10u,0603",Top,CAP_0603,87.5,76.9,270,Capacitor SMD 0603 25V
C19,"10u,0603",Top,CAP_0603,93.9,76.9,90,Capacitor SMD 0603 25V
C20,"100n,0402",Top,CAP_0402,91.4,74.3,0,Capacitor SMD 0402 16V
C21,"100n,0402",Top,CAP_0402,85.7,64.1,270,Capacitor SMD 0402 16V
C22,"100n,0402",Top,CAP_0402,91.7,65.3,270,Capacitor SMD 0402 16V
C23,"100n,0402",Top,CAP_0402,68,75.3,270,Capacitor SMD 0402 16V
D1,USBLC6-2SC6,Top,SOT-23-6,78.5,77.4,180,Low-Capacitance ESD Protection USB
D2,GREEN,Top,LED_0402_GREEN,82.6,57,270,LED 0402 GREEN SMD
D3,GREEN,Top,LED_0402_GREEN,84.4,57,270,LED 0402 GREEN SMD
D4,GREEN,Top,LED_0402_GREEN,92.6,80,180,LED 0402 GREEN SMD
D5,USBLC6-2SC6,Top,SOT-23-6,69,71,270,Low-Capacitance ESD Protection USB
J1,TYPE-C-31-M-12,Top,TYPE-C-31-M-12,79.4,85.525,180,USB Type C Connector Horizontal SMT
J2,105313-1104,Top,105313-1104,61.1,71.1,270,"Nano-Fit Right-Angle Header, Through Hole, 2.50mm Pitch, Single Row, 2 Circuits, Tin (Sn) Plating, Black, Glow-Wire Capable, Tray"
L1,"2n2,0603",Top,IND_0603,78.8,57,270,Inductor SMD 0603
L2,"2n2,0603",Top,IND_0603,76.6,57,270,Inductor SMD 0603
L3,"2n2,0603",Top,IND_0603,83.7,76.9,270,Inductor SMD 0603
R1,"5k1,0402",Top,RES_0402,69,80.7,180,Resistor SMD 0402
R2,"5k1,0402",Top,RES_0402,92.9,82.1,0,Resistor SMD 0402
R3,"22R,0402",Top,RES_0402,89.4,60.6,0,Resistor SMD 0402
R4,"470R,0402",Top,RES_0402,72.9,71.9,0,Resistor SMD 0402
R5,"5k1,0402",Top,RES_0402,91.7,62.7,270,Resistor SMD 0402
R6,"5k1,0402",Top,RES_0402,86.8,60.6,180,Resistor SMD 0402
R7,"22R,0402",Top,RES_0402,72.1,63.3,180,Resistor SMD 0402
R8,"470R,0402",Top,RES_0402,72.9,70,0,Resistor SMD 0402
R9,"5k1,0402",Top,RES_0402,75.6,77.9,90,Resistor SMD 0402
R10,"5k1,0402",Top,RES_0402,81.4,77.7,90,Resistor SMD 0402
R11,"1k,0402",Top,RES_0402,89.8,80,0,Resistor SMD 0402
R12,"1k,0402",Top,RES_0402,82.6,54.4,90,Resistor SMD 0402
R13,"1k,0402",Top,RES_0402,84.4,54.4,90,Resistor SMD 0402
SW1,SKRPANE010,Top,SKRPANE010,69,86.6,90,Tactile Switch SMD SPST
SW2,SKRPANE010,Top,SKRPANE010,90.2,86.2,90,Tactile Switch SMD SPST
U1,W25Q16JVUXIQ,Top,USON-8-2X3MM,78.8,71.4,270,16M-BIT SERIAL FLASH MEMORY WITH DUAL/QUAD SPI USON-8
U2,ESP32-C3,Top,QFN32-5x5,78.3,64.1,90,Ultra­Low­Power SoC with RISC­V Single­Core CPU Supporting IEEE 802.11b/g/n (2.4 GHz Wi­Fi) and Bluetooth® 5 (LE)
U3,SPX3819M5-L-3-3/TR,Top,SOT-23-5,90.7,76.9,0,500mA +3.3V Low-Noise LDO Voltage Regulator
U4,BMI055,Top,BMI088,88.7,64.2,270,Inertial Measurement Unit IMU 6-Axis LGA
X1,"40Mhz,2520",Top,XTAL_2520,67.6,63.4,90,Crystal SMD 2520
